"","X","dive","p.max","sec.max","p.min","sec.min","dur","lunges","breaths","comments","surface.time","dive.time","surface.p","dive.p"
"17",22,21,13.0204098933087,4637.4,-0.100679215438778,4586.2,51.1999999999998,0,3,"none",32,19.4,0.622568093385214,0.377431906614786
"18",23,22,54.3151717074645,4821.4,1.86228333876113,4637.4,184,1,2,"none",24.8,159.4,0.134636264929425,0.865363735070575
"19",25,24,54.6232339086234,5391.8,-0.152200775771903,4821.4,570.400000000001,1,7,"none",237.2,333.4,0.415702769015072,0.584297230984928
"20",26,25,56.8125472959319,5520.6,1.38967966832425,5391.8,128.8,1,3,"none",22.8,106.2,0.176744186046512,0.823255813953488
"21",28,27,53.3909748959803,5970.2,-0.137228956745325,5520.6,449.599999999999,1,6,"none",232.8,217,0.517563361493997,0.482436638506003
"22",29,28,48.5519897029703,6307.8,-0.142058229050753,5970.2,337.6,0,2,"none",44,293.8,0.130254588513914,0.869745411486086
"23",30,29,59.4457525413038,6543.8,1.06291769738645,6307.8,236,1,4,"none",31,205.2,0.131244707874682,0.868755292125318
"24",32,31,55.957082297359,7015.8,-0.154702636050052,6543.8,472,0,3,"none",157.8,314.4,0.33418043202033,0.66581956797967
"25",33,32,48.2486477691441,7393.4,-0.156831436546847,7015.8,377.599999999999,1,3,"none",90.4,287.4,0.23928004235045,0.76071995764955
"26",34,33,32.0135801820295,7743,-0.145059730044229,7393.4,349.6,0,3,"none",86,263.8,0.245854774156661,0.754145225843339
"27",35,34,57.6288813451132,8053.4,-0.144736857157635,7743,310.4,1,4,"none",104.4,206.2,0.336123631680618,0.663876368319382
"28",36,35,19.7461346304755,8202.2,-0.133174392630489,8053.4,148.800000000001,0,4,"none",93.6,55.4,0.628187919463087,0.371812080536913
"29",37,36,49.6929014906379,8631,-0.144968871747431,8202.2,428.799999999999,1,4,"none",73.8,355.2,0.172027972027972,0.827972027972028
"30",38,37,39.4095675358209,8955.8,-0.130394419475368,8631,324.799999999999,0,4,"none",89,236,0.273846153846154,0.726153846153846
"31",39,38,41.1631832463571,9231,1.15239083180562,8955.8,275.200000000001,1,2,"none",33.2,242.2,0.120551924473493,0.879448075526507
"32",41,40,36.0903585707047,9446.2,1.93515563999401,9231,215.200000000001,1,4,"none",73.4,142,0.340761374187558,0.659238625812442
"33",43,42,44.0646610680678,9731.8,-0.153104604744691,9446.2,285.599999999999,1,2,"none",173,112.8,0.605318404478656,0.394681595521344
"34",45,44,36.40845749906,10089.4,-0.148203921464528,9731.8,357.6,0,4,"none",156,201.8,0.43599776411403,0.56400223588597
"35",46,45,42.3213231678633,10337.4,-0.155899303946104,10089.4,248,1,4,"none",115.2,133,0.464141821112006,0.535858178887994
"36",47,46,51.4837863609542,10720.6,-0.140449557056527,10337.4,383.200000000001,0,5,"none",33.2,350.2,0.0865936358894105,0.91340636411059
"37",49,48,43.4073171669637,11032.6,1.64526282969159,10720.6,312,1,4,"none",105,207.2,0.336322869955157,0.663677130044843
"38",54,53,46.0353298659404,11297.4,1.72509179142201,11032.6,264.799999999999,1,5,"none",120,145,0.452830188679245,0.547169811320755
"39",56,55,57.2877665490487,11561.4,1.79171282075295,11297.4,264,1,3,"none",139.2,125,0.526873580620742,0.473126419379258
"40",58,57,61.0740270421061,11967,-0.193570142166764,11561.4,405.6,NA,NA,"none",164.8,241,0.406111384918679,0.593888615081321
"41",59,58,56.034643999448,12299,-0.172599874863255,11967,332,1,3,"none",139.4,192.8,0.419626730885009,0.580373269114991
"42",60,59,64.8267268644265,12535.8,-0.110878707711955,12299,236.799999999999,1,3,"none",111.8,125.2,0.471729957805907,0.528270042194093
"43",61,60,58.3324382446986,12956.6,-0.147423952245479,12535.8,420.800000000001,1,3,"none",80.8,340.2,0.191923990498812,0.808076009501188
