,X,ans,p,tempr,pitch,roll,head,flownoise,Aw1,Aw2,Aw3,pnorm,speedFN,speedSP,r,sec,MSA,jerk,dive,event,min.p,max.p,max.speed,min.speed,delta.speed,delta.p,tag,DateTime, LAT, LON
69537,69537,1.180832575,10.49697462,5.081217377,117.0120471,-27.49305379,-87.50621514,-67.90236092,1.180832575,-0.333971642,0.641743499,0.160093519,2.456102605,2.469040441,69537,13907.4,3.773833692,14.31613405,66,lunge,2.350454312,13.67772235,2.7278266,1.019125323,1.708701277,11.32726804,mn13_111a,4/21/2013 12:36,57.739564,-135.241995
71060,71060,0.83945565,38.24517092,5.618751266,142.0262727,0.38985769,169.8376883,-67.94584665,0.83945565,0.001965288,0.288825808,0.583292255,2.612220002,3.178140886,71060,14212,-1.100741587,17.37403737,68,lunge,5.285442759,42.79745674,3.799443385,1.004003063,2.795440322,37.51201398,mn13_111a,4/21/2013 12:41,57.742503,-135.242808
80074,80074,0.863593314,14.15533224,5.26420028,107.8953753,-1.280871444,-112.250188,-66.12144331,0.863593314,-0.014052405,0.62848568,0.215888581,2.720937806,3.046749589,80074,16014.8,0.668510066,13.69554793,75,lunge,5.213600997,17.88160692,3.156768013,1,2.408875234,12.66800593,mn13_111a,4/21/2013 13:11,57.744797,-135.245382
81149,81149,1.203423884,38.40136067,5.508649413,123.7049306,-28.81927029,-117.5108102,-66.4433361,1.203423884,-0.310367875,0.564107571,0.585674367,2.346340677,2.944605201,81149,16229.8,3.577809284,15.12809981,76,lunge,7.123666908,41.26065431,3.413456261,1.772026488,1.641429773,34.1369874,mn13_111a,4/21/2013 13:15,57.745463,-135.249206
83624,83624,0.773778315,13.95107313,5.1432716,122.473501,-2.873440204,-121.0252901,-69.0484049,0.773778315,-0.021292312,0.424208113,0.212773344,2.379145271,2.63997672,83624,16724.8,-1.150434052,13.69985385,77,lunge,5.232530159,17.9578039,2.691103938,1,1.853094295,12.72527374,mn13_111a,4/21/2013 13:23,57.744468,-135.250452
85271,85271,0.714451865,39.71510076,5.824219251,100.027329,-18.19596123,182.7818109,-95.96144362,0.714451865,-0.18711283,0.569242139,0.605710737,1.169174395,1.404206653,85271,17054.2,-0.662300967,10.44159037,78,lunge,15.48582943,40.87788529,2.714111773,1.120775133,1.59333664,25.39205586,mn13_111a,4/21/2013 13:28,57.743666,-135.251032
91139,91139,1.145905975,11.1333937,5.301292978,119.6454257,-26.46544593,-11.89261741,-58.73919618,1.145905975,-0.296953172,0.596496528,0.169799798,2.84920263,2.965795005,91139,18227.8,3.19258078,12.38438693,82,lunge,3.129501097,14.29354593,2.97239237,1.186337778,1.786054591,11.16404484,mn13_111a,4/21/2013 13:48,57.742739,-135.254914
93488,93488,0.963289944,10.6473314,5.002212079,127.0742836,-178.098714,155.8036762,-63.57273837,0.963289944,-0.015908639,-0.479235245,0.16238667,2.407163911,2.231170657,93488,18697.6,0.745629034,12.52364499,83,lunge,5.737990811,14.67142549,2.418026686,1,1.535926236,8.933434675,mn13_111a,4/21/2013 13:56,57.742538,-135.246039
94764,94764,-0.212701003,42.37610144,5.564167225,-27.18117399,3.717448454,-61.84104655,-59.20321059,-0.212701003,0.057045031,0.877981756,0.646294713,3.226100826,NA,94764,18952.8,-0.929882894,10.01959457,85,lunge,41.59787827,46.37973701,4.015706132,2.850961571,1.164744561,4.781858743,mn13_111a,4/21/2013 14:00,57.743295,-135.243701
103465,103465,0.939206517,10.11914944,4.742232635,141.2648478,-157.2074873,157.8258669,-58.24268909,0.939206517,-0.127898316,-0.304369403,0.154331157,2.903956241,2.491042771,103465,20693,-0.043699722,8.058849422,90,lunge,3.86544939,14.50322175,2.941462437,1,2.102182563,10.63777236,mn13_111a,4/21/2013 14:29,57.742707,-135.2566
105001,105001,0.674631952,11.23423468,5.502636657,106.7005498,7.370761674,3.622746142,-67.04504408,0.674631952,0.064392991,0.4977873,0.171337764,2.423717331,2.245380505,105001,21000.2,-1.560505586,19.90577384,91,lunge,5.013063339,14.14293863,2.647644452,1,1.908348371,9.12987529,mn13_111a,4/21/2013 14:34,57.743804,-135.257159
106390,106390,0.413810793,40.52419152,5.697115724,53.29598652,15.70422022,-143.9757561,-81.7193996,0.413810793,0.223205083,0.79385291,0.618050501,1.529972075,NA,106390,21278,-0.758654373,9.426177096,95,lunge,20.59091348,42.03730036,3.316705962,1.504322184,1.812383778,21.44638688,mn13_111a,4/21/2013 14:39,57.743508,-135.253694
108563,108563,0.817945083,5.493024088,5.126547852,155.8569938,52.37657213,-135.8863493,-82.56718912,0.817945083,0.138549009,0.106787379,0.083776287,1.76166816,NA,108563,21712.6,-1.603965956,10.46024599,96,lunge,4.921937687,8.272003394,3.126367593,1,2.13923012,3.350065708,mn13_111a,4/21/2013 14:46,57.742487,-135.251593
109924,109924,1.213096582,12.37107937,5.448334565,150.8689786,37.45668024,-124.2925439,-60.23907977,1.213096582,0.191697553,0.250216599,0.188676233,2.81103171,2.763215815,109924,21984.8,2.484801897,12.49827272,98,lunge,5.159453578,15.43658948,2.936167578,1,2.093530282,10.2771359,mn13_111a,4/21/2013 14:50,57.743251,-135.245652
111442,111442,1.087638181,12.32815316,5.283847624,130.0908704,-12.7402417,191.75854,-61.15514036,1.087638181,-0.111616273,0.493663533,0.188021548,3.099299742,2.879820556,111442,22288.4,1.957728315,13.25027971,99,lunge,4.645418662,16.52746547,3.224776223,1,2.476163151,11.88204681,mn13_111a,4/21/2013 14:55,57.74125,-135.246104
113170,113170,0.681465532,27.53532738,5.482968091,96.25800485,-40.45154959,-84.27152675,-72.64665195,0.681465532,-0.39630404,0.464807739,0.419952188,2.069790643,1.272572787,113170,22634,-0.832100279,7.151365294,101,lunge,6.188058019,30.15546532,3.182935447,1.209381969,1.973553478,23.9674073,mn13_111a,4/21/2013 15:01,57.74092,-135.242761
114688,114688,0.765595863,48.23293281,5.469422858,98.04970938,21.43999457,-28.06846508,-70.46363129,0.765595863,0.243053069,0.618926254,0.735619569,2.23614327,2.103498633,114688,22937.6,0.137706671,8.672126691,105,lunge,20.61239008,51.26316885,3.108516283,2.054950563,1.05356572,30.65077877,mn13_111a,4/21/2013 15:06,57.73944,-135.235295
119082,119082,1.265768011,13.19601171,5.528944444,163.6818997,106.7662964,153.0942419,-58.57708988,1.265768011,0.173761921,-0.052350306,0.201257603,3.16355037,2.998321813,119082,23816.4,2.733223513,10.56884675,109,lunge,1.973883067,17.99281654,3.185121157,1.104353122,2.080768035,16.01893347,mn13_111a,4/21/2013 15:21,57.741288,-135.249408
