"","X","p","tempr","pitch","roll","head","flownoise","Aw1","Aw2","Aw3","speedFN","speedSP","r","sec","MSA","jerk","dive","event","min.p","max.p","max.speed","min.speed","delta.speed","delta.p","tag"
"128359",128359,16.7303676360731,5.33131146042395,109.56888658844,-39.1569318189919,-79.6485412872125,-69.2687092304172,0.888200580987917,-0.395865135450115,0.486124213252594,2.23957709449777,2.50187911959169,128359,25671.8,0.854789841444838,6.34633743293432,"106","lunge",5.82724274957327,18.8099488700869,2.27965390704974,1.05365256774927,1.22600133930047,12.9827061205136,"mn13_110a"
"128899",128899,15.5680246894079,5.37907052802208,87.9678839687946,-79.7762429773224,-29.059647092099,-65.5270812274091,0.731482306828424,-0.745863255096745,0.134521281022996,2.35966355202254,NA,128899,25779.8,0.522850139662618,11.6870882723112,"107","lunge",4.54421976608076,18.2153267858511,2.36829854242652,1,1.36929669701071,13.6711070197703,"mn13_110a"
"129190",129190,16.9332455722848,5.29213511767395,105.423864877349,-72.6052892041894,-116.268615356788,-73.3562598289594,0.947845520860503,-0.688745629368378,0.215769973874106,2.03432404987027,2.61674971593151,129190,25838,1.87659933156539,7.69038640976161,"107","lunge",4.17533030337079,19.0876091652412,2.09495517959162,1,1.09615758661477,14.9122788618704,"mn13_110a"
"129413",129413,14.844267010834,5.40853289324447,91.5596935103992,-88.1307583304527,-12.8505734469753,-63.7175297995769,0.776339775924381,-0.755086913122173,0.024643017411416,2.47063494888293,NA,129413,25882.6,0.816568420237166,6.9466661742097,"108","lunge",4.82414246415712,17.1026933327361,2.51929157213255,1.17333395560325,1.3459576165293,12.278550868579,"mn13_110a"
"129627",129627,16.0640539692337,5.33072247982578,79.9207483608751,-52.5174562535539,167.069143041027,-70.5518857416911,0.808982010748863,-0.76613189884741,0.587502918694373,2.10111613053331,NA,129627,25925.4,2.5457187510345,9.39184748620766,"108","lunge",3.86029392113955,16.902460504736,2.16066421115432,1.09823613415409,1.06242807700023,13.0421665835964,"mn13_110a"
"130089",130089,16.7770285104656,5.396658336568,113.026762774689,-66.4436622157071,78.8902565081563,-72.7990206173803,0.831178780100895,-0.504044421488911,0.219754323151158,2.03800457447704,2.22134854556995,130089,26017.8,-0.0333458283660994,5.82457246542258,"109","lunge",4.8008247598418,19.9559969634953,2.13767381690824,1,1.15926819815915,15.1551722036535,"mn13_110a"
"130803",130803,21.54274698437,5.31160793908901,10.4121675945056,-28.4737820295399,55.7741320350409,-86.6725087533617,0.0840133878590027,-0.439601492884867,0.810529482929376,1.287961024664,NA,130803,26160.6,-0.7268053999625,4.2901885122406,"110","lunge",10.7049315422418,21.8602114763071,1.92463297178355,1,1.01297549506522,11.1552799340653,"mn13_110a"
"131076",131076,25.7385158159515,5.21134697655395,112.958130640295,-51.4921345865792,-33.6759535445587,-69.7115234361977,0.831271590319214,-0.430891080691773,0.342842830185855,2.19377480434328,2.52513685380235,131076,26215.2,-0.0283784226793772,6.70214974103892,"110","lunge",14.5837289617996,29.0151256365524,2.33300252027534,1,1.48325439350182,14.4313966747528,"mn13_110a"
"132587",132587,18.6756612355602,5.24314095571886,32.3501612290827,-32.6747812709788,-142.905917989289,-73.4342557368506,0.254660354061266,-0.47399052263658,0.739031426104712,2.02145354157917,NA,132587,26517.4,-0.841814343125342,3.92152336762783,"111","lunge",9.28394254074585,20.7047378312128,2.09794166097312,1.04909730826727,1.04884435270585,11.420795290467,"mn13_110a"
"133231",133231,19.2063187936243,5.18315076357797,2.00214309469535,4.89011314657687,-23.7446916121271,-81.2555686307079,0.0157988577096188,0.0770739989919269,0.900855842637937,1.54777836105363,NA,133231,26646.2,-0.938644083770333,4.65229201780665,"112","lunge",16.1750344174213,20.2569182490731,1.67489462740857,1,0.681736623193667,4.0818838316518,"mn13_110a"
