"","X.1","X","dive","p.max","sec.max","p.min","sec.min","dur","lunges","breaths","comments","surface.time","dive.time","surface.p","dive.p"
"17",17,21,20,10.774855268786,3974.2,-0.0131708350306359,3946.2,28,1,0,"none",24.4,3.8,0.865248226950355,0.134751773049645
"18",18,22,21,32.7495426122819,4183.8,-0.0638398495968513,3974.2,209.6,1,0,"none",22.2,187.6,0.105815061963775,0.894184938036225
"19",19,23,22,17.3654552877249,4340.6,0.709429669706868,4183.8,156.8,0,2,"none",41.8,115.2,0.266242038216561,0.73375796178344
"20",20,25,24,28.4365044156564,4565.4,-0.0990255818549626,4340.6,224.799999999999,0,2,"none",58.6,166.4,0.260444444444444,0.739555555555556
"21",21,27,26,24.5981627829343,4927.8,0.250440109704868,4565.4,362.400000000001,0,6,"none",168.6,194,0.464975179260894,0.535024820739106
"22",22,28,27,42.4304844008502,5351.8,0.803849570480577,4927.8,424,1,3,"none",86.6,337.6,0.204148986327204,0.795851013672796
"23",23,33,32,32.659619159301,5731.8,1.10132379846753,5351.8,380,1,0,"none",189.8,190.4,0.499210941609679,0.500789058390321
"24",24,34,33,33.2208501338617,5907,-0.077167067438197,5731.8,175.2,2,0,"none",24.4,151,0.139110604332953,0.860889395667047
"25",25,35,34,12.9467646923608,6007.8,1.50013174310736,5907,100.8,0,1,"none",82.2,18.8,0.813861386138614,0.186138613861386
"26",26,37,36,32.5395017595285,6421.4,0.319006436831729,6007.8,413.599999999999,0,5,"none",101.2,312.6,0.24456259062349,0.75543740937651
"27",27,40,39,19.6839011441504,6971.8,-0.093329763450523,6421.4,550.400000000001,0,1,"none",232.2,318.4,0.421721758082092,0.578278241917908
"28",28,41,40,32.9241980506419,7304.6,0.0453117224717081,6971.8,332.8,0,6,"none",158.6,174.4,0.476276276276276,0.523723723723724
"29",29,42,41,34.9043489673263,7932.6,-0.048152400764214,7304.6,628,1,8,"none",226,402.2,0.359758038841133,0.640241961158867
"30",30,43,42,38.5998421334148,8157.4,-0.133263353198876,7932.6,224.799999999999,1,3,"none",102.6,122.4,0.456,0.544
"31",31,46,45,36.9305362193857,8689.4,-0.123095266172135,8157.4,532,1,6,"none",228.6,303.6,0.429537767756483,0.570462232243517
"32",32,47,46,43.0062173048106,9340.6,-0.120761367606432,8689.4,651.200000000001,1,5,"none",163.2,488.2,0.250537304267731,0.749462695732269
"33",33,48,47,29.4695119252841,9901.4,-0.141767214306864,9340.6,560.799999999999,0,8,"none",262.6,298.4,0.468092691622103,0.531907308377897
"34",34,49,48,29.8580099279141,10375,-0.131229417714906,9901.4,473.6,0,4,"none",107,366.8,0.225833685099198,0.774166314900802
"35",35,50,49,29.0373220983515,11028.6,-0.0691328534422329,10375,653.6,0,4,"none",150.4,503.4,0.230039767513001,0.769960232486999
"36",36,52,51,31.8805639176911,11630.2,0.0208277167624586,11028.6,601.6,0,6,"none",263.8,338,0.438351611831173,0.561648388168827
"37",37,53,52,24.9464364470831,12083,-0.136103068118734,11630.2,452.799999999999,0,5,"none",130.8,322.2,0.288741721854305,0.711258278145695
"38",38,54,53,40.5043376348826,12920.6,-0.120592410754582,12083,837.6,1,6,"none",155.2,682.6,0.185247075674385,0.814752924325615
"39",39,55,54,46.8935494298973,13112.6,0.0793524571943816,12920.6,192,1,5,"none",70.6,121.6,0.36732570239334,0.63267429760666
"40",40,57,56,34.7611344191181,13481.4,-0.158967185942271,13112.6,368.799999999999,1,4,"none",230.8,138.2,0.625474254742547,0.374525745257453
"41",41,58,57,37.5209449011885,13697.4,-0.155028793652554,13481.4,216,1,3,"none",97.8,118.4,0.452358926919519,0.547641073080481
"42",42,59,58,36.2281857148179,14115,-0.150518574565919,13697.4,417.6,1,0,"none",67.6,350.2,0.161799904260412,0.838200095739588
"43",43,60,59,12.3194832943601,14220.6,0.0542877288395349,14115,105.6,0,1,"none",43,62.8,0.406427221172023,0.593572778827977
"44",44,61,60,36.0827308168197,14783.8,-0.155933991768172,14220.6,563.199999999999,0,10,"none",170.2,393.2,0.302094426695066,0.697905573304934
"45",45,62,61,36.4242327852389,15265.4,1.34776634264979,14783.8,481.6,1,8,"none",24,457.8,0.049813200498132,0.950186799501868
"46",46,64,63,35.6727994297727,15668.6,-0.177587852648366,15265.4,403.200000000001,1,4,"none",280.8,122.6,0.696083292017848,0.303916707982152
"47",47,65,64,33.9295303855044,15867,1.16231920972723,15668.6,198.4,1,0,"none",26.6,172,0.133937562940584,0.866062437059416
"48",48,66,65,10.5579360113182,15943,0.452915097725753,15867,76,0,2,"none",65.4,10.8,0.858267716535433,0.141732283464567
"49",49,68,67,32.7302771720695,16160.6,1.22706718485223,15943,217.6,1,4,"none",93.6,124.2,0.429752066115702,0.570247933884298
"50",50,70,69,39.3302436760347,16615,-0.132006028973763,16160.6,454.4,0,3,"none",168,286.6,0.369555653321601,0.630444346678399
"51",51,72,71,39.4179577431868,16867,1.15101695304611,16615,252,1,5,"none",70,182.2,0.277557494052339,0.722442505947661
"52",52,74,73,33.6293966953395,17274.2,1.05664347463532,16867,407.200000000001,1,0,"none",174,233.4,0.427098674521355,0.572901325478645
"53",53,75,74,10.9727923166199,17440.6,-0.165790796560798,17274.2,166.399999999998,0,8,"none",156,10.6,0.936374549819928,0.063625450180072
"54",54,77,76,56.5484087447793,17919,-0.163447058531357,17440.6,478.400000000001,0,4,"none",105,373.6,0.219389887170915,0.780610112829085
"55",55,79,78,40.1096807885707,18099,1.25929459525193,17919,180,1,0,"none",57,123.2,0.316315205327414,0.683684794672586
"56",56,84,83,39.3632910628908,18386.2,1.31494086590463,18099,287.200000000001,1,5,"none",162.2,125.2,0.564370215727209,0.43562978427279
"57",57,85,84,15.1446963393719,18506.2,-0.177435426308348,18386.2,120,0,5,"none",102,18.2,0.848585690515807,0.151414309484193
"58",58,86,85,37.1027657192974,18944.6,-0.149847071314867,18506.2,438.399999999998,1,3,"none",85.2,353.4,0.194254445964432,0.805745554035568
