"","X.1","X","Aw2.1","Aw2.2","Aw2.3","JiggleRMS","head2","p2","pitch2","roll2","speedJJ","r","sec","p","MSA","jerk","dive","pitch","roll","head","speedFN","event","min.p","max.p","max.speed","min.speed","delta.speed","delta.p","tag"
"74384",74384,74384,-0.0478256673535929,-0.0602667956309235,1.08178721344904,-40.7358022140572,-0.537805203545558,121.109823138277,-0.0441127831172243,-0.0556528693908339,4.65057446674586,74384,14876.8,121.109823138277,0.828855010241516,15.4750037985865,"28",-5.05495259038581,-3.18867453388759,-30.8139683633347,4.65057446674586,"lunge",116.323862213646,121.774592291631,5.78155982191981,2.41785784730845,3.36370197461136,5.450730077985,"mn12_262b"
"74544",74544,74544,-0.039445491416531,-0.0423099014446401,0.831171925358269,-32.1901240301829,2.49542299349977,119.531906979506,-0.0473608702964846,-0.0508600113646668,6.51773379744993,74544,14908.8,119.531906979506,-1.63592221494418,22.0660603611512,"28",-5.42715596411014,-2.91406399718281,142.977205627439,6.51773379744993,"lunge",115.039028657531,120.406237666333,6.51773379744993,2.31615575780892,4.20157803964101,5.36720900880199,"mn12_262b"
"74781",74781,74781,-0.0370357707917778,0.0595847988969164,1.05341735836223,-39.1818647924473,3.12745186748579,121.081332984394,-0.0350872240343014,0.0565031273820215,4.94495543625468,74781,14956.2,121.081332984394,0.546730328072261,15.2966529927489,"28",-4.02069970399091,3.23739072827991,179.189792637243,4.94495543625468,"lunge",115.129713994959,121.081332984394,6.52122990866694,2.27340217935289,4.24782772931405,5.95161898943499,"mn12_262b"
"74906",74906,74906,0.347794514850013,-0.220745785794691,1.01731054954736,-29.4416412676791,-1.41946180899521,119.048286276417,0.322441671781358,-0.213677052706419,7.26512803856045,74906,14981.2,119.048286276417,0.956614038844917,22.34825304363,"28",36.9490938644287,-12.2427932988723,-81.3291708354305,7.26512803856045,"lunge",113.717296397864,119.670813402774,7.26512803856045,1.92222767333281,5.34290036522764,5.95351700491,"mn12_262b"
"75094",75094,75094,-0.174583169556865,-0.0611054285042449,0.965687036377578,-43.1505651882936,3.33550737943477,119.757261465126,-0.178505194093406,-0.0631923879664244,4.22750839514841,75094,15018.8,119.757261465126,-0.164340947048198,10.582594509668,"28",-20.4551884854315,-3.62065712782941,191.110495376354,4.22750839514841,"lunge",114.984247369689,120.470281549838,5.85790615574062,1.96116115162716,3.89674500411346,5.48603418014901,"mn12_262b"
"75221",75221,75221,-0.108984542891319,-0.116254291138505,0.632600458405392,-34.6926744479671,3.20139119015344,116.317262387422,-0.167848507611369,-0.181744204100756,5.90430270331131,75221,15044.2,116.317262387422,-3.40916530715115,15.9413976531246,"28",-19.2340221674018,-10.4131758459375,183.426203766156,5.90430270331131,"lunge",110.40750311708,117.022168636817,5.90430270331131,1.73949872765356,4.16480397565775,6.614665519737,"mn12_262b"
"75403",75403,75403,0.411141764488888,-0.130289190654304,0.875846584337222,-41.2649823267769,0.660423486446394,120.065980729835,0.434692545934424,-0.147675061910382,4.55437938450261,75403,15080.6,120.065980729835,-0.232626672828365,6.61234895720231,"28",49.8120965356783,-8.46115778679803,37.8394784646937,4.55437938450261,"lunge",117.987423388088,120.360208159414,5.01714657037727,2.01143449195738,3.00571207841989,2.372784771326,"mn12_262b"
"75563",75563,75563,0.818970441176591,-0.109507090950797,0.972802420008953,-34.9310941091207,-1.48096662282845,118.912694015634,0.696653288907575,-0.112096790270535,5.84896247549645,75563,15112.6,118.912694015634,2.70998940453661,8.01572454770482,"28",79.8305864766241,-6.4226729794648,-84.853137087813,5.84896247549645,"lunge",113.662389968726,118.947710132714,5.95708041814921,2.25402904361505,3.70305137453416,5.28532016398799,"mn12_262b"
"75733",75733,75733,0.239953401146888,-0.161140511696302,0.63144098972712,-40.6631783560673,2.41947326368084,115.124673853245,0.35280334194849,-0.249861960208684,4.66393372970363,75733,15146.6,115.124673853245,-2.9964161160132,11.9600193016439,"28",40.4282849835185,-14.3160357808233,138.625606653655,4.66393372970363,"lunge",107.265739737278,118.334915072482,5.634191899603,2.27569146487968,3.35850043472332,11.069175335204,"mn12_262b"
"77207",77207,77207,0.0547054244496197,-0.2415582106626,0.694810468118604,-43.2670857993257,-1.88096976731203,116.358905941929,0.0742314767701166,-0.334589185668738,4.20809677510679,77207,15441.4,116.358905941929,-2.57292673946099,6.78917754147653,"29",8.50630065190219,-19.1705482095378,-107.771629058684,4.20809677510679,"lunge",113.778220295619,118.189106166528,5.2337348323629,2.15665322405631,3.07708160830659,4.41088587090901,"mn12_262b"
