,X,Temp,Aw.1,Aw.2,Aw.3,pitch,roll,roll2,n2,head,head2,JigRMS,speedFN,speedJJ,speedFNexp,speedSP,rollrate,TspeedFN,TspeedJJ,p,r,sec,MSA,jerk,dive,event,min.p,max.p,max.speed,min.speed,delta.speed,delta.p,tag,DateTime, LAT, LON
76721,93220,4.691704802,0.944926759,0.136830559,-0.901533734,92.04060143,-8.630218936,0.0309506772157041+0i,1,-40.72445653,2.430816801,-17.78807174,3.975789533,4.603526727,4.693450279,NA,-0.013322286,3.975789533,4.603526727,63.28882927,76721,15344.2,3.070987294,12.08862635,64,lunge,44.69236722,64.39507809,4.048964205,1,3.17151961,19.70271087,mn14_113b,4/23/2014 16:50,57.673624,-134.042636
83852,100351,4.677733806,0.509292884,-0.163307946,-0.63978764,75.28628148,14.31918126,-0.14776036826838+0i,1,-87.90298554,1.607396134,-16.78822633,4.051184779,4.795059648,4.866212086,NA,0.123552663,4.051184779,4.795059648,75.4570356,83852,16770.4,-1.628956648,7.437028807,71,lunge,59.30217579,78.76883887,4.051184779,1,3.307133972,19.46666308,mn14_113b,4/23/2014 17:13,57.676575,-134.039648
90270,106769,4.818918625,-0.039069296,-0.267672238,-0.754063422,-5.590687706,19.54349407,-0.214328811864845+0i,1,-172.6274376,0.128675488,-19.61471008,3.76275389,4.273149236,4.237736042,NA,0.054148112,3.76275389,4.273149236,58.86149446,90270,18054,-1.950388002,12.86435181,76,lunge,28.42177428,59.56613185,4.573686096,1.18750551,3.386180586,31.14435757,mn14_113b,4/23/2014 17:35,57.664627,-134.0216
95119,111618,4.751783981,0.569330827,-0.030575972,-0.723882709,76.32019275,2.418670008,-0.02672811594383+0i,1,99.82398379,-1.399335464,-24.1360739,3.42650408,3.553795402,3.606782112,NA,0.037261261,3.42650408,3.553795402,67.77115036,95119,19023.8,-0.770266838,8.946406884,80,lunge,54.51652063,68.81520659,3.42650408,1.275688857,2.150815223,14.29868596,mn14_113b,4/23/2014 17:51,57.659639,-134.011156
96142,112641,4.665288752,1.146005614,0.092797468,-0.537626439,129.0847711,-9.793093054,-0.0925080639485171+0i,1,65.69931781,-1.994923241,-19.48290101,3.69328237,4.2961742,4.09891139,NA,0.009119326,3.69328237,4.2961742,72.68536328,96142,19228.4,2.640389765,15.32184322,80,lunge,56.14629591,77.61431778,3.734622587,1,2.89255542,21.46802187,mn14_113b,4/23/2014 17:54,57.658858,-134.006844
97830,114329,4.747578008,0.283140204,0.030483783,-0.694788999,44.30523169,-2.512234217,0.0280190172740554+0i,1,-50.00301341,2.268875434,-14.91343208,4.252967966,5.175940496,5.360513128,NA,0.046082635,4.252967966,5.175940496,67.78859335,97830,19566,-2.442976392,11.58190157,81,lunge,38.45429924,69.57187572,4.490489359,2.346827429,2.14366193,31.11757648,mn14_113b,4/23/2014 18:00,57.659631,-134.008871
99316,115815,4.891976872,1.06350223,0.003672899,-0.317085324,146.7937846,-0.663645364,-0.00126579282604861+0i,1,129.9269245,-0.873940034,-24.98789042,2.671027522,3.432496379,2.510813437,2.120508659,0.006893888,2.671027522,3.432496379,67.55252215,99316,19863.2,1.076494234,11.47816653,82,lunge,54.21440491,70.91167797,3.023282148,1,2.212679675,16.69727306,mn14_113b,4/23/2014 18:05,57.661365,-134.008251
100021,116520,4.722470109,0.828604605,0.283021696,-0.597231655,102.8479753,-25.35577292,0.157855474680714+0i,1,-8.655813859,2.990520202,-19.31278044,3.88562906,4.326075071,4.494889211,NA,0.079847925,3.88562906,4.326075071,57.38608667,100021,20004.2,0.587346684,11.29142362,82,lunge,35.45576758,58.74938193,3.984837387,1,3.049628758,23.29361435,mn14_113b,4/23/2014 18:07,57.663483,-134.009783
101428,117927,4.781521898,0.806957152,-0.207177553,-0.562218576,106.8112535,20.22884274,-0.124288103794767+0i,1,-121.3064483,1.024395727,-32.73245747,2.690799747,2.503134277,2.534728339,NA,0.015612324,2.690799747,2.503134277,72.02478411,101428,20285.6,0.049848535,4.836567155,83,lunge,64.65328794,75.39070746,3.032078587,1.016782881,2.015295706,10.73741952,mn14_113b,4/23/2014 18:12,57.665873,-134.019219
102947,119446,4.780723476,1.157792812,0.09594585,-0.434868607,137.923058,-12.44194305,-0.107135225615474+0i,1,76.91028912,-1.79925488,-21.35169308,3.655722225,3.981006593,4.025758789,2.770830403,0.047685643,3.655722225,3.981006593,64.82212098,102947,20589.4,2.358342229,11.89157835,85,lunge,43.79330997,66.70767462,3.733077126,1.536497909,2.196579217,22.91436465,mn14_113b,4/23/2014 18:17,57.667282,-134.01881
