"","X.1","X","dive","p.max","sec.max","p.min","sec.min","dur","lunges","breaths","comments","surface.time","dive.time","surface.p","dive.p"
"33",33,61,60,28.9655469155059,19581.4,-0.11613632815815,19423.8,157.600000000002,1,1,"none",29.6,128.2,0.187579214195184,0.812420785804816
"34",34,62,61,25.1394433231907,19695.8,-0.100466916299169,19581.4,114.399999999998,1,1,"none",31.2,83.4,0.272251308900524,0.727748691099476
"35",35,63,62,25.9653246195661,19984.6,-0.114368659195682,19695.8,288.799999999999,1,1,"none",30.4,258.6,0.105190311418685,0.894809688581315
"36",36,64,63,22.9866291477507,20303.8,-0.0483476949544386,19984.6,319.200000000001,1,1,"none",48.4,271,0.151534126487163,0.848465873512837
"37",37,65,64,15.1877624324353,20372.6,-0.083706011166333,20303.8,68.7999999999993,1,1,"none",36.8,32.2,0.533333333333333,0.466666666666667
"38",38,66,65,17.8159254624853,20529.4,-0.0786628313888418,20372.6,156.800000000003,1,1,"none",55,102,0.35031847133758,0.64968152866242
"39",39,67,66,20.2959381386063,20711,-0.116618708948584,20529.4,181.599999999999,2,1,"none",79.4,102.4,0.436743674367437,0.563256325632563
"40",40,68,67,18.4155199324471,20761.4,-0.149078750003822,20711,50.4000000000015,1,1,"none",30.2,20.4,0.596837944664032,0.403162055335968
"41",41,69,68,17.5483246648623,20830.2,-0.151750336452769,20761.4,68.7999999999993,1,NA,"none",32.4,36.6,0.469565217391304,0.530434782608696
"42",42,70,69,18.620087345109,20888.6,0.346254631267479,20830.2,58.3999999999978,1,1,"none",29.8,28.8,0.508532423208191,0.491467576791809
"43",43,71,70,14.8939337442054,20936.6,1.76495921378742,20888.6,48,1,1,"none",24,24.2,0.497925311203319,0.50207468879668
"44",44,72,71,15.5550236175629,20992.6,-0.137868054701409,20936.6,56,1,1,"none",35.2,21,0.626334519572954,0.373665480427046
"45",45,73,72,12.6675529261163,21078.2,-0.127718796955248,20992.6,85.6000000000022,2,1,"none",58.4,27.4,0.680652680652681,0.319347319347319
"46",46,74,73,18.5015767980204,21176.6,-0.122768027526128,21078.2,98.3999999999978,1,1,"none",38.8,59.8,0.393509127789047,0.606490872210953
"47",47,75,74,24.0353734493827,21525.4,-0.106691573617999,21176.6,348.800000000003,0,1,"none",49,300,0.140401146131805,0.859598853868195
"48",48,76,75,18.6477424712456,21683,-0.113235344632116,21525.4,157.599999999999,1,1,"none",49.6,108.2,0.314321926489227,0.685678073510773
"49",49,77,76,15.3611164454256,21735.8,-0.0926517009424312,21683,52.7999999999993,1,1,"none",32.2,20.8,0.607547169811321,0.392452830188679
"50",50,78,77,17.0367786242234,21874.2,2.1263933168439,21735.8,138.400000000001,NA,1,"none",56.2,82.4,0.405483405483405,0.594516594516594
"51",51,79,78,19.3622495972939,21952.6,-0.112645935281845,21874.2,78.3999999999978,1,1,"none",33.6,45,0.427480916030534,0.572519083969466
"52",52,80,79,20.9324056892246,22018.2,-0.148687064990204,21952.6,65.6000000000022,1,1,"none",29.2,36.6,0.443768996960486,0.556231003039514
"53",53,81,80,18.3909922115965,22168.6,-0.127733168426213,22018.2,150.399999999998,1,1,NA,57.8,92.8,0.383798140770252,0.616201859229748
"54",54,82,81,18.4644638107395,22273.4,-0.0990450118790811,22168.6,104.800000000003,1,1,"none",32.2,72.8,0.306666666666667,0.693333333333333
