"","X","Aw2.1","Aw2.2","Aw2.3","JiggleRMS","ans","head2","p2","pitch2","roll2","speedJJ","r","sec","p","pitch","roll","head","MSA","jerk","dive","speedFN","event","min.p","max.p","max.speed","min.speed","delta.speed","delta.p","tag"
"4849",4849,0.785663786074008,0.102148360718213,0.397004303768192,-43.0500525367794,2.10371586171078,2.50287261385493,102.448596935818,1.08988557572083,0.251835362642907,2.10371586171078,4849,969.8,102.448596935818,124.891687281979,14.4291034115851,143.404037432764,-1.11619679190878,9.11431030591256,"2",2.10371586171078,"lunge",73.8100344644551,106.48203912417,3.47724914388714,2.10371586171078,1.37353328217636,32.6720046597149,"mn12_262a"
"6195",6195,0.359086427764183,-0.0927296961652577,0.659001660797841,-38.7763841640251,2.51137129069006,-1.48876112222649,151.115267789072,0.49480719986186,-0.139794564818564,2.51137129069006,6195,1239,151.115267789072,56.7007284495415,-8.00963856297171,-85.2997290067382,-2.3909481058546,12.1470118039048,"3",2.51137129069006,"lunge",141.250013074281,153.693938409237,3.20121308300948,1.15956511372787,2.04164796928161,12.443925334956,"mn12_262a"
"6372",6372,0.922418896235893,-0.243042264737702,0.640178531070318,-37.0875813222525,2.69344748349232,-1.97895973759046,147.122418161166,0.932206655389464,-0.362839069455101,2.69344748349232,6372,1274.4,147.122418161166,106.823013975645,-20.7891473222314,-113.38604079025,1.45928617710022,11.5110504353972,"3",2.69344748349232,"lunge",138.716267626014,148.663088278364,3.41755148511222,1.15883923992972,2.2587122451825,9.94682065235,"mn12_262a"
"6537",6537,-0.0164862589810669,-0.236159049911239,0.856692146828998,-34.2897581629758,3.02459964794982,-1.707999651895,151.456536530633,-0.0185499731255414,-0.268983276137411,3.02459964794982,6537,1307.4,151.456536530633,-2.12567034034924,-15.4116064822756,-97.8611714633975,-1.09050561451716,12.3429826129119,"3",3.02459964794982,"lunge",145.672610299721,152.161114809967,3.30381913858368,1,2.39451238058403,6.488504510246,"mn12_262a"
"6709",6709,0.270712437993615,-0.0706586093142081,0.919947473425906,-38.8198482534342,2.5068514174993,1.6802481615509,147.176745854865,0.285395659521061,-0.0766567162800463,2.5068514174993,6709,1341.8,147.176745854865,32.7039335638189,-4.39210631417844,96.271128191482,-0.377051340170016,9.95110883292692,"3",2.5068514174993,"lunge",138.477579411998,149.91891644412,3.15481140748458,1.01973083911833,2.13508056836625,11.441337032122,"mn12_262a"
"6853",6853,0.118970737134967,-0.254705365233919,0.768267718704441,-37.1277367214786,2.68896862884192,1.90650195169107,148.25909449234,0.14594330397456,-0.320128516678434,2.68896862884192,6853,1370.6,148.25909449234,16.7238707318743,-18.3420129074577,109.234515465353,-1.7839702630858,11.7595396852181,"3",2.68896862884192,"lunge",142.438804726623,149.591895288746,3.24958945741664,1.17333371022155,2.07625574719509,7.153090562123,"mn12_262a"
"7039",7039,-0.517698203643175,-0.164872689704025,0.702787424757285,-41.0636033960155,2.2842421940988,2.65275605085632,152.51625436029,-0.622153316114534,-0.230431188018872,2.2842421940988,7039,1407.8,152.51625436029,-71.2935184468627,-13.2027345416669,151.991725791859,-1.09524985957169,9.5409080459324,"3",2.2842421940988,"lunge",151.432824314366,160.21312148285,3.47206834318403,1,2.47895297521082,8.780297168484,"mn12_262a"
"7232",7232,0.0337519726462431,-0.131329422729001,0.951986922926417,-40.1675902650236,2.37066357747523,-1.71495617945688,148.070010928354,0.0351071842926443,-0.13708769952115,2.37066357747523,7232,1446.4,148.070010928354,4.02298698111299,-7.8545466057195,-98.2597511327596,-0.376620465217567,11.2874684721749,"3",2.37066357747523,"lunge",139.744732682256,150.023800270247,3.35716564837825,1,2.37487288872112,10.279067587991,"mn12_262a"
"7394",7394,0.987552117838526,-0.18338042984145,0.823827787176101,-35.1438047360139,2.91941272048212,-2.42743674324189,145.158761804469,0.863620903179807,-0.219024712363744,2.91941272048212,7394,1478.8,145.158761804469,98.9636657029585,-12.5491916275094,-139.081880422742,2.93286321090351,16.4625630247654,"3",2.91941272048212,"lunge",131.972350816236,147.367055706741,3.46191172297179,1,2.48383344679985,15.394704890505,"mn12_262a"
"8890",8890,0.0406619206055098,-0.0619004323476533,0.978753326595731,-40.9153854789888,2.29831735305135,2.32000137386699,147.992770959237,0.0414380339338213,-0.0631600403217848,2.29831735305135,8890,1778,147.992770959237,4.7484489114557,-3.61880374431437,132.926287187131,-0.180919069132216,11.3822790953048,"4",2.29831735305135,"lunge",141.417275487532,148.785246726673,3.02467056859565,1.04724824510776,1.97742232348789,7.36797123914099,"mn12_262a"
"9033",9033,0.298187322819223,-0.183695056190146,0.915643963501209,-34.6339580282926,2.98175856782108,2.80946421602931,149.370337062762,0.309064652882319,-0.197990135181648,2.98175856782108,9033,1806.6,149.370337062762,35.4162004136653,-11.3439991311331,160.97044227151,-0.192814216866941,11.935040697296,"4",2.98175856782108,"lunge",141.334580052295,150.868777676508,3.4659832268618,1.14902928587071,2.31695394099109,9.53419762421299,"mn12_262a"
"9219",9219,0.290358658719283,-0.105880593348828,0.702137883993369,-40.3357808699664,2.35419581047464,0.475289690418135,147.334736159044,0.388165389625246,-0.14966974574519,2.35419581047464,9219,1843.8,147.334736159044,44.4804771571556,-8.57544475199548,27.2320933070386,-2.2834954773453,13.0573064164432,"4",2.35419581047464,"lunge",138.467999006442,149.746672688203,3.39588907244668,1.18895427756033,2.20693479488635,11.278673681761,"mn12_262a"
"9394",9394,0.738668352242464,-0.109830860024128,1.05689794888087,-35.7355279877446,2.84868730565626,-1.74442350766999,144.258871523445,0.607469458325692,-0.103546466820415,2.84868730565626,9394,1878.8,144.258871523445,69.6108722903208,-5.9327755323012,-99.9481046728973,2.88425783324706,11.728478485648,"4",2.84868730565626,"lunge",135.893171298393,146.214313788884,3.1487483488719,1.2022844912741,1.9464638575978,10.321142490491,"mn12_262a"
"9543",9543,0.315496570612186,-0.0472212600029549,0.793761282790234,-34.588887294449,2.98733361619661,1.99106595743317,142.726543658807,0.377717810431391,-0.0594204728561779,2.98733361619661,9543,1908.6,142.726543658807,43.2832727692824,-3.40454231133066,114.079676093095,-1.41737812814478,15.0556722394662,"4",2.98733361619661,"lunge",133.150468106989,145.179103079495,3.12380253742852,1.1207899165798,2.00301262084872,12.028634972506,"mn12_262a"
"9725",9725,-0.402665545055158,-0.0710488234745943,0.847201663337484,-35.8103811518878,2.83986347214559,3.08757668612451,151.312065677569,-0.442326932929232,-0.0836671644187439,2.83986347214559,9725,1945,151.312065677569,-50.6869328436224,-4.79377540502116,176.905113037923,-0.581421523588004,16.691852188601,"4",2.83986347214559,"lunge",145.476506930509,151.763602074253,2.97507879139817,1.14342506707485,1.83165372432332,6.28709514374398,"mn12_262a"
"9911",9911,0.835048951285727,-0.21858332560196,0.885344546808016,-34.9859381762402,2.9385765818733,0.442632324331212,148.938255891228,0.741419346117855,-0.242050119075619,2.9385765818733,9911,1982.2,148.938255891228,84.9603987638046,-13.868450253672,25.3609640602442,2.31922568565366,13.9809640222953,"4",2.9385765818733,"lunge",140.622615092746,150.767024325512,3.23311988881929,1.08785199577395,2.14526789304534,10.144409232766,"mn12_262a"
"10083",10083,0.399360955942557,-0.0576235112513724,0.806556410165916,-31.2324353655853,3.43319240495922,-1.38453278307272,146.28361095315,0.458743168849655,-0.0713226856032678,3.43319240495922,10083,2016.6,146.28361095315,52.5680949110851,-4.08648886860573,-79.3278850675688,-0.962471250605481,12.7471858781275,"4",3.43319240495922,"lunge",137.454469855681,149.113187431324,3.43319240495922,1.17947845802456,2.25371394693466,11.658717575643,"mn12_262a"
"10248",10248,0.365955093858482,-0.116899272701303,0.776869525706134,-35.406759542516,2.88776896064947,1.78483380419849,144.04701623252,0.435931350140103,-0.149354249936078,2.88776896064947,10248,2049.6,144.04701623252,49.9540530409352,-8.5573681736793,102.263444112853,-1.30753228938895,16.4079914340572,"4",2.88776896064947,"lunge",135.765320346388,146.408276901176,3.65193723340519,1.04449288103348,2.60744435237171,10.642956554788,"mn12_262a"
"10403",10403,1.02430456667742,-0.0155221311132304,0.75037302885982,-37.4873167212088,2.6491922721912,-0.296617993723476,144.885863649678,0.938443203760098,-0.0206829364606776,2.6491922721912,10403,2080.6,144.885863649678,107.537669776378,-1.18504496713408,-16.9949591679931,2.64625284278035,18.0743617734552,"4",2.6491922721912,"lunge",130.270303141893,145.717605956734,3.36113932504506,1.04107786040622,2.32006146463884,15.447302814841,"mn12_262a"
"11662",11662,0.0669520679275186,0.10297148048379,0.893968814817084,-31.4538035440561,3.40183800834534,-1.26465339396039,145.08157875282,0.0742643073915881,0.114679257787742,3.40183800834534,11662,2332.4,145.08157875282,8.51006276400041,6.57063746893042,-72.4593020208256,-0.957454048508682,10.8092504481399,"5",3.40183800834534,"lunge",136.674259579985,147.290798134114,3.5142986384033,1.26406930494421,2.25022933345909,10.616538554129,"mn12_262a"
